District_Id,District,Year,Crop,Area,Prod_kg,Value_Real
,JAGUARUANA,2025,Rice,950,5700,2026.3
,JAGUARUANA,2025,Maize,2500,1867,457.69
,JAGUARUANA,2025,Bean,1400,572,448.47
,JARDIM,2025,Rice,60,57,20.26
,JARDIM,2025,Maize,950,609,149.29
,JARDIM,2025,Bean,525,174,136.42
,JATI,2025,Rice,12,11,3.91
,JATI,2025,Maize,1740,1248,305.94
,JATI,2025,Bean,994,126,98.79
,JUAZEIRO DO NORTE,2025,Rice,225,221,78.56
,JUAZEIRO DO NORTE,2025,Maize,510,314,76.98
,JUAZEIRO DO NORTE,2025,Bean,482,148,116.04
,JUCAS,2025,Rice,291,232,82.47
,JUCAS,2025,Maize,2528,689,168.91
,JUCAS,2025,Bean,1694,350,274.41
,LAVRAS DA MANGABEIRA,2025,Rice,1365,2044,726.63
,LAVRAS DA MANGABEIRA,2025,Maize,3391,1046,256.42
,LAVRAS DA MANGABEIRA,2025,Bean,2946,352,275.98
,LIMOEIRO DO NORTE,2025,Rice,1000,6000,2132.95
,LIMOEIRO DO NORTE,2025,Maize,1060,2939,720.49
,LIMOEIRO DO NORTE,2025,Bean,1835,1356,1063.16
,MADALENA,2025,Rice,,0,
,MADALENA,2025,Maize,8679,1197,293.44
,MADALENA,2025,Bean,3480,355,278.33
,MAURITI,2025,Rice,135,143,50.84
,MAURITI,2025,Maize,16531,3571,875.42
,MAURITI,2025,Bean,7284,1212,950.26
,MILAGRES,2025,Rice,125,88,31.28
,MILAGRES,2025,Maize,3618,644,157.88
,MILAGRES,2025,Bean,1632,175,137.21
,MILHA,2025,Rice,150,162,57.59
,MILHA,2025,Maize,4170,3336,817.81
,MILHA,2025,Bean,2580,1032,809.13
,MISSAO VELHA,2025,Rice,150,140,49.77
,MISSAO VELHA,2025,Maize,1528,390,95.61
,MISSAO VELHA,2025,Bean,1553,358,280.69
,MOMBACA,2025,Rice,84,54,19.2
,MOMBACA,2025,Maize,5660,3288,806.05
,MOMBACA,2025,Bean,4330,1249,979.27
,MONSENHOR TABOSA,2025,Rice,,0,
,MONSENHOR TABOSA,2025,Maize,4429,1085,265.99
,MONSENHOR TABOSA,2025,Bean,3774,437,342.63
,MORADA NOVA,2025,Rice,1731,10386,3692.14
,MORADA NOVA,2025,Maize,1600,864,211.81
,MORADA NOVA,2025,Bean,10865,4477,3510.15
,NOVA OLINDA,2025,Rice,300,188,66.83
,NOVA OLINDA,2025,Maize,1400,851,208.62
,NOVA OLINDA,2025,Bean,1005,166,130.15
,OROS,2025,Rice,390,1598,568.08
,OROS,2025,Maize,2380,1373,336.59
,OROS,2025,Bean,1080,355,278.33
,PALHANO,2025,Rice,,0,
,PALHANO,2025,Maize,259,186,45.6
,PALHANO,2025,Bean,1155,436,341.84
,PARAMBU,2025,Rice,,0,
,PARAMBU,2025,Maize,13510,8228,2017.07
,PARAMBU,2025,Bean,11100,3141,2462.67
,PEDRA BRANCA,2025,Rice,301,135,47.99
,PEDRA BRANCA,2025,Maize,14280,11424,2800.57
,PEDRA BRANCA,2025,Bean,6070,2769,2171.01
